fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,py
NF,51.621244,-115.608378,6.0,,,13.9074716567993,292.367401123047,,,,,0,
NF,51.621244,-115.608378,23.1518993377686,,,21.1622409820557,265.946563720703,,,,,0,
NF,51.621244,-115.608378,34.1518974304199,,,21.9876480102539,262.553100585938,,,,,0,
PL03,51.621244,-115.608378,52.2278480529785,,,4.69958114624023,264.682739257813,,,,,21,
PL02,51.621244,-115.608378,40.392406463623,,,19.3594951629639,46.8887939453125,,,,,20,
PL02,51.621244,-115.608378,33.3797454833984,,,18.3563709259033,333.132934570313,,,,,20,
PL03,51.621244,-115.608378,51.455696105957,,,7.26775169372559,335.049560546875,,,,,21,
PL03,51.621244,-115.608378,37.4683532714844,,,8.95878982543945,333.306579589844,,,,,21,
PL03,51.621244,-115.608378,56.8227844238281,,,27.1932334899902,289.358673095703,,,,,21,
PL03,51.621244,-115.608378,71.6835479736328,,,38.6237869262695,347.193328857422,,,,,21,
PL03,51.621244,-115.608378,68.2405090332031,,,40.3049125671387,10.8317050933838,,,,,21,
PL03,51.621244,-115.608378,61.5822792053223,,,27.0724773406982,13.19349193573,,,,,21,
PL03,51.621244,-115.608378,60.0,,,28.7763671875,11.3758602142334,,,,,21,
PL03,51.621244,-115.608378,54.0126571655273,,,21.8844146728516,13.6215162277222,,,,,21,
PL03,51.621244,-115.608378,53.1265830993652,,,35.0022468566895,304.967346191406,,,,,21,
MT03,51.621244,-115.608378,92.2658233642578,,,46.7706489562988,257.404602050781,,,,,8,
MT03,51.621244,-115.608378,114.0,,,27.7692356109619,166.278015136719,,,,,8,
MT03,51.621244,-115.608378,83.4810104370117,,,22.5230274200439,85.6153717041016,,,,,8,
MT03,51.621244,-115.608378,84.0506362915039,,,27.1214866638184,329.412719726563,,,,,8,
MT03,51.621244,-115.608378,101.886077880859,,,20.9146995544434,317.205200195313,,,,,8,
MT03,51.621244,-115.608378,103.0,,,16.7503223419189,335.957000732422,,,,,8,
MT03,51.621244,-115.608378,110.987342834473,,,41.8307266235352,295.884246826172,,,,,8,
MT03,51.621244,-115.608378,153.189880371094,,,49.4986763000488,269.96044921875,,,,,8,
PL02,51.621244,-115.608378,177.0,,,14.565728187561,93.3305511474609,,,,,20,
MT03,51.621244,-115.608378,133.797470092773,,,19.539665222168,78.7396850585938,,,,,8,
MT03,51.621244,-115.608378,151.44303894043,,,66.7243347167969,257.913421630859,,,,,8,
PL02,51.621244,-115.608378,220.810119628906,,,57.3617401123047,244.99543762207,,,,,20,
PL02,51.621244,-115.608378,220.772155761719,,,38.0525817871094,119.740829467773,,,,,20,
MT03,51.621244,-115.608378,176.746841430664,,,29.9359874725342,117.991073608398,,,,,8,
MT03,51.621244,-115.608378,185.518981933594,,,56.2183113098145,268.526458740234,,,,,8,
PL02,51.621244,-115.608378,251.696197509766,,,45.7081489562988,269.062469482422,,,,,20,
PL02,51.621244,-115.608378,246.468353271484,,,9.23940563201904,95.4684448242188,,,,,20,
PL04,51.621244,-115.608378,239.430374145508,,,7.01028060913086,161.283432006836,,,,,22,
MT03,51.621244,-115.608378,243.468353271484,,,35.7875022888184,121.05598449707,,,,,8,
PL02,51.621244,-115.608378,198.544296264648,,,34.5065841674805,112.572120666504,,,,,20,
MT03,51.621244,-115.608378,200.974685668945,,,28.4381046295166,245.071563720703,,,,,8,
MT03,51.621244,-115.608378,232.936706542969,,,48.8676719665527,273.097442626953,,,,,8,
PL02,51.621244,-115.608378,266.050628662109,,,46.9067001342773,276.307952880859,,,,,20,
PL02,51.621244,-115.608378,295.113922119141,,,24.402982711792,201.469421386719,,,,,20,
PL02,51.621244,-115.608378,277.962036132813,,,19.6224212646484,190.845626831055,,,,,20,
PL02,51.621244,-115.608378,300.037963867188,,,27.905158996582,231.567092895508,,,,,20,
PL02,51.621244,-115.608378,307.113922119141,,,13.176383972168,220.306304931641,,,,,20,
PL02,51.621244,-115.608378,311.405059814453,,,16.188835144043,132.9208984375,,,,,20,
PL02,51.621244,-115.608378,291.303802490234,,,46.8264846801758,98.4431304931641,,,,,20,
MT07,51.621244,-115.608378,249.632904052734,,,38.1382293701172,84.5588531494141,,,,,12,
MT07,51.621244,-115.608378,240.670883178711,,,31.7470588684082,247.448608398438,,,,,12,
MT07,51.621244,-115.608378,288.734191894531,,,61.2092971801758,231.430480957031,,,,,12,
MT07,51.621244,-115.608378,304.493682861328,,,36.1288299560547,252.791076660156,,,,,12,
MT07,51.621244,-115.608378,334.759490966797,,,43.0390243530273,270.794738769531,,,,,12,
PL04,51.621244,-115.608378,361.886077880859,,,35.8938255310059,259.308807373047,,,,,22,
PL04,51.621244,-115.608378,381.797454833984,,,19.5025482177734,227.298263549805,,,,,22,
PL04,51.621244,-115.608378,381.0,,,7.67473793029785,158.374176025391,,,,,22,
PL04,51.621244,-115.608378,378.025329589844,,,7.85031414031982,73.2529602050781,,,,,22,
MT07,51.621244,-115.608378,370.974670410156,,,12.5762128829956,57.3810806274414,,,,,12,
PL04,51.621244,-115.608378,363.898742675781,,,20.3074970245361,81.3161468505859,,,,,22,
PL04,51.621244,-115.608378,344.202545166016,,,33.3037452697754,73.1996383666992,,,,,22,
PL04,51.621244,-115.608378,321.379760742188,,,26.0618343353271,5.85290384292603,,,,,22,
PL04,51.621244,-115.608378,340.658233642578,,,31.1872425079346,304.125549316406,,,,,22,
PL04,51.621244,-115.608378,355.810119628906,,,27.8444805145264,303.897155761719,,,,,22,
PL04,51.621244,-115.608378,371.481018066406,,,17.8119773864746,271.453460693359,,,,,22,
PL04,51.621244,-115.608378,379.556976318359,,,10.6082334518433,257.945556640625,,,,,22,
PL04,51.621244,-115.608378,385.316467285156,,,6.37830781936646,263.008697509766,,,,,22,
PL04,51.621244,-115.608378,388.0,,,1.64442086219788,288.809143066406,,,,,22,
PL04,51.621244,-115.608378,387.392395019531,,,3.93440628051758,15.8196182250977,,,,,22,
PL04,51.621244,-115.608378,386.569610595703,,,6.51962518692017,30.3432140350342,,,,,22,
PL04,51.621244,-115.608378,383.0,,,9.34756469726563,21.5037174224854,,,,,22,
PL04,51.621244,-115.608378,382.0,,,6.82958889007568,6.30333995819092,,,,,22,
PL04,51.621244,-115.608378,382.0,,,6.99772214889526,30.5734710693359,,,,,22,
PL04,51.621244,-115.608378,377.253173828125,,,8.56592178344727,32.5076560974121,,,,,22,
PL04,51.621244,-115.608378,375.860748291016,,,6.14249706268311,28.3194484710693,,,,,22,
PL04,51.621244,-115.608378,373.367095947266,,,11.1975803375244,54.5466690063477,,,,,22,
PL04,51.621244,-115.608378,363.696197509766,,,29.1573257446289,65.4856948852539,,,,,22,
PL04,51.621244,-115.608378,337.987335205078,,,47.2706260681152,82.2694931030273,,,,,22,
PL03,51.621244,-115.608378,301.227844238281,,,8.19479846954346,59.9066047668457,,,,,21,
PL03,51.621244,-115.608378,328.531646728516,,,54.7779502868652,280.366668701172,,,,,21,
PL03,51.621244,-115.608378,373.088592529297,,,35.7920341491699,285.315460205078,,,,,21,
PL03,51.621244,-115.608378,374.569610595703,,,15.0024042129517,24.0838317871094,,,,,21,
PL03,51.621244,-115.608378,364.924041748047,,,34.6247787475586,44.1295356750488,,,,,21,
PL03,51.621244,-115.608378,342.417724609375,,,51.3567352294922,59.3528327941895,,,,,21,
PL03,51.621244,-115.608378,306.0,,,39.9363288879395,43.1390647888184,,,,,21,
NF,51.621244,-115.608378,13.0759496688843,,,12.2439727783203,330.357879638672,,,,,0,
NF,51.621244,-115.608378,21.1518993377686,,,14.7251567840576,298.452545166016,,,,,0,
PCH1,51.621244,-115.608378,30.3417720794678,,,23.9006977081299,286.926879882813,,,,,1,
PCH1,51.621244,-115.608378,51.6455688476563,,,21.5186424255371,284.844940185547,,,,,1,
PL03,51.621244,-115.608378,58.0817184448242,,,19.6264476776123,352.033813476563,,,,,21,
PL03,51.621244,-115.608378,55.2730331420898,,,34.7564277648926,357.299224853516,,,,,21,
PL03,51.621244,-115.608378,60.2658233642578,,,23.1689834594727,13.2906665802002,,,,,21,
PL03,51.621244,-115.608378,48.1696853637695,,,17.8556022644043,338.806518554688,,,,,21,
PL03,51.621244,-115.608378,68.8745422363281,,,55.4375762939453,267.62158203125,,,,,21,
PL03,51.621244,-115.608378,122.038932800293,,,51.5466690063477,310.473999023438,,,,,21,
PL03,51.621244,-115.608378,121.168083190918,,,66.0032196044922,16.6467666625977,,,,,21,
PL03,51.621244,-115.608378,96.8227844238281,,,63.9615058898926,15.9565954208374,,,,,21,
PL03,51.621244,-115.608378,97.7181549072266,,,73.4709167480469,8.43549919128418,,,,,21,
PL03,51.621244,-115.608378,82.4491271972656,,,82.6170043945313,9.28190994262695,,,,,21,
PL03,51.621244,-115.608378,79.9469604492188,,,80.0716857910156,2.04974555969238,,,,,21,
PL02,51.621244,-115.608378,78.6297073364258,,,10.6717929840088,8.13826560974121,,,,,20,
PL03,51.621244,-115.608378,77.9322204589844,,,16.8960475921631,198.509872436523,,,,,21,
MT03,51.621244,-115.608378,85.7832107543945,,,34.2885475158691,305.269958496094,,,,,8,
MT03,51.621244,-115.608378,115.266464233398,,,57.949893951416,331.714569091797,,,,,8,
PL02,51.621244,-115.608378,122.405059814453,,,67.1634216308594,354.756530761719,,,,,20,
MT03,51.621244,-115.608378,123.452171325684,,,69.1601028442383,351.898803710938,,,,,8,
PL02,51.621244,-115.608378,135.402816772461,,,53.6942939758301,335.501800537109,,,,,20,
MT03,51.621244,-115.608378,153.145492553711,,,34.254451751709,297.649475097656,,,,,8,
PL02,51.621244,-115.608378,175.868606567383,,,11.7527751922607,65.3612518310547,,,,,20,
MT03,51.621244,-115.608378,138.898727416992,,,38.562629699707,56.9469528198242,,,,,8,
MT03,51.621244,-115.608378,132.763336181641,,,38.3483352661133,255.414596557617,,,,,8,
MT03,51.621244,-115.608378,188.392883300781,,,69.2682723999023,222.804122924805,,,,,8,
PL02,51.621244,-115.608378,195.533569335938,,,44.6579933166504,149.272644042969,,,,,20,
MT03,51.621244,-115.608378,157.962020874023,,,13.3109531402588,137.69889831543,,,,,8,
MT03,51.621244,-115.608378,183.586120605469,,,69.9960556030273,276.576843261719,,,,,8,
PL02,51.621244,-115.608378,250.696197509766,,,46.2774124145508,268.884429931641,,,,,20,
PL02,51.621244,-115.608378,245.291137695313,,,15.1148729324341,87.8147430419922,,,,,20,
PL04,51.621244,-115.608378,230.553283691406,,,23.6728992462158,122.903717041016,,,,,22,
PL04,51.621244,-115.608378,218.784805297852,,,51.5989570617676,133.73876953125,,,,,22,
MT03,51.621244,-115.608378,180.83544921875,,,31.0602588653564,125.230285644531,,,,,8,
MT03,51.621244,-115.608378,184.94905090332,,,42.2099494934082,261.213500976563,,,,,8,
PL02,51.621244,-115.608378,236.467071533203,,,66.6351928710938,278.043304443359,,,,,20,
PL02,51.621244,-115.608378,272.941192626953,,,25.0800800323486,237.738830566406,,,,,20,
PL02,51.621244,-115.608378,264.751007080078,,,51.4413146972656,162.398162841797,,,,,20,
MT07,51.621244,-115.608378,252.19548034668,,,35.25732421875,194.906616210938,,,,,12,
PL02,51.621244,-115.608378,276.846649169922,,,52.988826751709,215.946655273438,,,,,20,
MT07,51.621244,-115.608378,293.679382324219,,,43.5875053405762,199.934310913086,,,,,12,
PL02,51.621244,-115.608378,296.665435791016,,,26.653772354126,161.007949829102,,,,,20,
PL02,51.621244,-115.608378,282.111358642578,,,31.8282508850098,83.784065246582,,,,,20,
PL02,51.621244,-115.608378,254.468032836914,,,44.3585166931152,77.3381195068359,,,,,20,
MT07,51.621244,-115.608378,224.39241027832,,,27.5969638824463,152.917037963867,,,,,12,
MT07,51.621244,-115.608378,237.711898803711,,,64.7411346435547,229.660049438477,,,,,12,
PL04,51.621244,-115.608378,290.202545166016,,,75.1368408203125,257.544311523438,,,,,22,
PL04,51.621244,-115.608378,335.557769775391,,,48.6406784057617,255.424087524414,,,,,22,
PL04,51.621244,-115.608378,352.983184814453,,,43.2015991210938,209.711944580078,,,,,22,
PL04,51.621244,-115.608378,364.113922119141,,,65.789192199707,192.157730102539,,,,,22,
PL04,51.621244,-115.608378,371.461151123047,,,42.1091384887695,197.552200317383,,,,,22,
PL04,51.621244,-115.608378,381.049682617188,,,13.3007116317749,208.917556762695,,,,,22,
PL04,51.621244,-115.608378,380.038452148438,,,10.813346862793,115.170684814453,,,,,22,
PL04,51.621244,-115.608378,367.998077392578,,,18.7620124816895,66.6132278442383,,,,,22,
PL04,51.621244,-115.608378,357.072570800781,,,20.6812191009521,25.6874237060547,,,,,22,
PL04,51.621244,-115.608378,356.042785644531,,,32.0261039733887,350.596710205078,,,,,22,
PL04,51.621244,-115.608378,364.05078125,,,26.2822608947754,324.146759033203,,,,,22,
PL04,51.621244,-115.608378,376.572357177734,,,14.621768951416,335.668426513672,,,,,22,
PL04,51.621244,-115.608378,372.085083007813,,,7.17648983001709,359.864807128906,,,,,22,
PL04,51.621244,-115.608378,376.594940185547,,,9.21335792541504,277.083251953125,,,,,22,
PL04,51.621244,-115.608378,384.278472900391,,,9.29426956176758,257.773406982422,,,,,22,
PL04,51.621244,-115.608378,388.708862304688,,,6.18127393722534,277.392181396484,,,,,22,
PL04,51.621244,-115.608378,392.453460693359,,,8.2810173034668,330.826080322266,,,,,22,
PL04,51.621244,-115.608378,394.09228515625,,,11.6408195495605,351.948852539063,,,,,22,
PL04,51.621244,-115.608378,394.627777099609,,,14.4365339279175,9.01357746124268,,,,,22,
PL04,51.621244,-115.608378,391.075958251953,,,11.7857027053833,16.9127159118652,,,,,22,
PL04,51.621244,-115.608378,390.055267333984,,,12.1139144897461,14.9383993148804,,,,,22,
PL04,51.621244,-115.608378,386.911407470703,,,15.3936586380005,19.8321266174316,,,,,22,
PL04,51.621244,-115.608378,383.090362548828,,,14.4533863067627,14.6052408218384,,,,,22,
PL04,51.621244,-115.608378,382.050964355469,,,11.0320138931274,12.6388282775879,,,,,22,
PL04,51.621244,-115.608378,379.871185302734,,,26.9734077453613,81.3395233154297,,,,,22,
PL04,51.621244,-115.608378,346.488708496094,,,54.9925498962402,85.8772125244141,,,,,22,
PL03,51.621244,-115.608378,306.721527099609,,,22.7097492218018,9.07711505889893,,,,,21,
PL03,51.621244,-115.608378,341.710632324219,,,63.2396392822266,290.480834960938,,,,,21,
PL03,51.621244,-115.608378,385.728424072266,,,40.3629341125488,288.080169677734,,,,,21,
PL03,51.621244,-115.608378,392.881744384766,,,20.9615268707275,333.6142578125,,,,,21,
PL03,51.621244,-115.608378,398.151885986328,,,32.6740798950195,20.7842617034912,,,,,21,
PL03,51.621244,-115.608378,377.419158935547,,,49.3968849182129,53.8438911437988,,,,,21,
PL03,51.621244,-115.608378,344.962036132813,,,36.3792839050293,41.9894561767578,,,,,21,
NF,51.621244,-115.608378,20.2278480529785,,,19.3371601104736,331.503601074219,,,,,0,
NF,51.621244,-115.608378,32.5316467285156,,,31.3612174987793,326.263793945313,,,,,0,
PCH1,51.621244,-115.608378,43.455696105957,,,31.1098537445068,319.277282714844,,,,,1,
PL03,51.621244,-115.608378,59.5989418029785,,,21.3978157043457,306.5517578125,,,,,21,
PL03,51.621244,-115.608378,66.3797454833984,,,18.6063327789307,305.511260986328,,,,,21,
PL03,51.621244,-115.608378,79.7974700927734,,,29.0602626800537,336.87109375,,,,,21,
PL03,51.621244,-115.608378,81.6029510498047,,,23.1139736175537,40.6256217956543,,,,,21,
PL03,51.621244,-115.608378,59.7266464233398,,,22.6505241394043,67.2446441650391,,,,,21,
PL03,51.621244,-115.608378,53.7468338012695,,,42.5519027709961,267.441650390625,,,,,21,
PL03,51.621244,-115.608378,116.418365478516,,,74.296875,268.318328857422,,,,,21,
PL03,51.621244,-115.608378,152.788330078125,,,30.5712070465088,317.801696777344,,,,,21,
PL03,51.621244,-115.608378,143.80387878418,,,51.7574234008789,356.362182617188,,,,,21,
