fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,py
PCH1,51.621244,-115.608378,71.0,,,,,,,,,1,
PCH1,51.621244,-115.608378,79.2060317993164,,,,,,,,,1,
PCH1,51.621244,-115.608378,86.0100479125977,,,,,,,,,1,
MT07,51.621244,-115.608378,91.4120635986328,,,,,,,,,12,
MT07,51.621244,-115.608378,97.0201034545898,,,,,,,,,12,
MT07,51.621244,-115.608378,105.055274963379,,,,,,,,,12,
MT07,51.621244,-115.608378,118.67839050293,,,,,,,,,12,
MT07,51.621244,-115.608378,134.698486328125,,,,,,,,,12,
MT07,51.621244,-115.608378,149.688446044922,,,,,,,,,12,
MT07,51.621244,-115.608378,160.472366333008,,,,,,,,,12,
MT07,51.621244,-115.608378,169.060302734375,,,,,,,,,12,
MT07,51.621244,-115.608378,176.055282592773,,,,,,,,,12,
MT07,51.621244,-115.608378,181.648239135742,,,,,,,,,12,
MT07,51.621244,-115.608378,185.839202880859,,,,,,,,,12,
MT07,51.621244,-115.608378,189.44221496582,,,,,,,,,12,
MT07,51.621244,-115.608378,193.030151367188,,,,,,,,,12,
MT07,51.621244,-115.608378,195.432159423828,,,,,,,,,12,
MT07,51.621244,-115.608378,197.417083740234,,,,,,,,,12,
MT07,51.621244,-115.608378,199.236175537109,,,,,,,,,12,
MT07,51.621244,-115.608378,201.63818359375,,,,,,,,,12,
MT07,51.621244,-115.608378,204.04020690918,,,,,,,,,12,
MT07,51.621244,-115.608378,206.44221496582,,,,,,,,,12,
MT07,51.621244,-115.608378,208.422103881836,,,,,,,,,12,
MT07,51.621244,-115.608378,210.246231079102,,,,,,,,,12,
MT07,51.621244,-115.608378,211.0,,,,,,,,,12,
MT07,51.621244,-115.608378,213.075378417969,,,,,,,,,12,
MT07,51.621244,-115.608378,216.67839050293,,,,,,,,,12,
MT07,51.621244,-115.608378,220.708541870117,,,,,,,,,12,
MT07,51.621244,-115.608378,224.256286621094,,,,,,,,,12,
MT07,51.621244,-115.608378,226.658294677734,,,,,,,,,12,
MT07,51.621244,-115.608378,228.030151367188,,,,,,,,,12,
MT07,51.621244,-115.608378,229.462310791016,,,,,,,,,12,
MT07,51.621244,-115.608378,231.0,,,,,,,,,12,
MT07,51.621244,-115.608378,232.266326904297,,,,,,,,,12,
MT07,51.621244,-115.608378,233.834167480469,,,,,,,,,12,
MT07,51.621244,-115.608378,235.0,,,,,,,,,12,
MT07,51.621244,-115.608378,235.236175537109,,,,,,,,,12,
PL10,51.621244,-115.608378,236.0,,,,,,,,,28,
PL10,51.621244,-115.608378,235.36181640625,,,,,,,,,28,
PL10,51.621244,-115.608378,234.160797119141,,,,,,,,,28,
PL10,51.621244,-115.608378,232.91960144043,,,,,,,,,28,
MT07,51.621244,-115.608378,230.7587890625,,,,,,,,,12,
MT07,51.621244,-115.608378,230.0,,,,,,,,,12,
MT07,51.621244,-115.608378,229.356781005859,,,,,,,,,12,
MT07,51.621244,-115.608378,229.844223022461,,,,,,,,,12,
PL10,51.621244,-115.608378,230.090454101563,,,,,,,,,28,
PL10,51.621244,-115.608378,232.492462158203,,,,,,,,,28,
PL10,51.621244,-115.608378,234.894470214844,,,,,,,,,28,
PL10,51.621244,-115.608378,237.296478271484,,,,,,,,,28,
PL10,51.621244,-115.608378,238.849243164063,,,,,,,,,28,
PL10,51.621244,-115.608378,241.100509643555,,,,,,,,,28,
MT07,51.621244,-115.608378,243.251251220703,,,,,,,,,12,
PL10,51.621244,-115.608378,244.904525756836,,,,,,,,,28,
PL10,51.621244,-115.608378,246.653259277344,,,,,,,,,28,
PL10,51.621244,-115.608378,248.708541870117,,,,,,,,,28,
PL10,51.621244,-115.608378,250.0,,,,,,,,,28,
PL10,51.621244,-115.608378,250.0,,,,,,,,,28,
MT07,51.621244,-115.608378,250.457290649414,,,,,,,,,12,
MT07,51.621244,-115.608378,251.0,,,,,,,,,12,
MT07,51.621244,-115.608378,251.859298706055,,,,,,,,,12,
MT07,51.621244,-115.608378,252.0,,,,,,,,,12,
MT07,51.621244,-115.608378,252.522613525391,,,,,,,,,12,
MT07,51.621244,-115.608378,255.849243164063,,,,,,,,,12,
MT07,51.621244,-115.608378,261.316589355469,,,,,,,,,12,
MT07,51.621244,-115.608378,266.457275390625,,,,,,,,,12,
MT07,51.621244,-115.608378,273.326629638672,,,,,,,,,12,
MT07,51.621244,-115.608378,279.331665039063,,,,,,,,,12,
MT07,51.621244,-115.608378,285.336669921875,,,,,,,,,12,
MT07,51.621244,-115.608378,290.673370361328,,,,,,,,,12,
MT07,51.621244,-115.608378,294.608032226563,,,,,,,,,12,
MT07,51.621244,-115.608378,297.070343017578,,,,,,,,,12,
MT07,51.621244,-115.608378,298.271362304688,,,,,,,,,12,
MT07,51.621244,-115.608378,298.055267333984,,,,,,,,,12,
PL03,51.621244,-115.608378,294.979888916016,,,,,,,,,21,
PL03,51.621244,-115.608378,290.502502441406,,,,,,,,,21,
PL03,51.621244,-115.608378,286.773864746094,,,,,,,,,21,
PL03,51.621244,-115.608378,283.170867919922,,,,,,,,,21,
PL03,51.621244,-115.608378,280.045227050781,,,,,,,,,21,
PL03,51.621244,-115.608378,276.964813232422,,,,,,,,,21,
PL03,51.621244,-115.608378,274.2412109375,,,,,,,,,21,
PL03,51.621244,-115.608378,270.839202880859,,,,,,,,,21,
PL03,51.621244,-115.608378,268.155792236328,,,,,,,,,21,
PL10,51.621244,-115.608378,264.552764892578,,,,,,,,,28,
PL10,51.621244,-115.608378,260.949737548828,,,,,,,,,28,
PL10,51.621244,-115.608378,257.346740722656,,,,,,,,,28,
PL10,51.621244,-115.608378,254.914566040039,,,,,,,,,28,
PL10,51.621244,-115.608378,254.286437988281,,,,,,,,,28,
PL10,51.621244,-115.608378,255.0,,,,,,,,,28,
PL10,51.621244,-115.608378,255.0,,,,,,,,,28,
PL03,51.621244,-115.608378,255.0,,,,,,,,,21,
PL03,51.621244,-115.608378,256.0,,,,,,,,,21,
PL03,51.621244,-115.608378,256.0,,,,,,,,,21,
PL03,51.621244,-115.608378,255.507537841797,,,,,,,,,21,
