Instance,datetime,WS,WD,FireScenario
CHI2015,18-02-2014 17:00,12.96,315,1
CHI2015,18-02-2014 18:00,12.96,315,1
CHI2015,18-02-2014 19:00,9.72,315,1
CHI2015,18-02-2014 20:00,6.48,315,1
CHI2015,18-02-2014 21:00,6.48,315,1
CHI2015,18-02-2014 22:00,9.72,315,1
CHI2015,18-02-2014 23:00,9.72,315,1
CHI2015,19-02-2014 0:00,7.2,326,1
CHI2015,19-02-2014 1:00,7.92,337,1
CHI2015,19-02-2014 2:00,3.24,337,1
CHI2015,19-02-2014 3:00,4.68,337,1
CHI2015,19-02-2014 4:00,7.92,315,1
CHI2015,19-02-2014 5:00,7.92,315,1
CHI2015,19-02-2014 6:00,4.68,292,1
CHI2015,19-02-2014 7:00,3.24,270,1
CHI2015,19-02-2014 8:00,3.24,270,1
CHI2015,19-02-2014 9:00,4.68,315,1
CHI2015,19-02-2014 10:00,4.68,315,1
CHI2015,19-02-2014 11:00,7.92,337,1
CHI2015,19-02-2014 12:00,14.4,337,1
CHI2015,19-02-2014 13:00,14.4,337,1
CHI2015,19-02-2014 14:00,16.2,315,1
CHI2015,19-02-2014 15:00,16.2,315,1
CHI2015,19-02-2014 16:00,16.2,337,1
CHI2015,19-02-2014 17:00,17.64,337,1
CHI2015,19-02-2014 18:00,14.4,315,1
CHI2015,19-02-2014 19:00,14.4,337,1
CHI2015,19-02-2014 20:00,11.16,337,1
CHI2015,19-02-2014 21:00,9.72,292,1
CHI2015,19-02-2014 22:00,4.68,225,1
CHI2015,19-02-2014 23:00,4.68,135,1
CHI2015,20-02-2014 0:00,6.48,157,1
CHI2015,20-02-2014 1:00,9.72,157,1
CHI2015,20-02-2014 2:00,7.92,157,1
CHI2015,20-02-2014 3:00,7.92,157,1
CHI2015,20-02-2014 4:00,6.48,157,1
CHI2015,20-02-2014 5:00,6.48,157,1
CHI2015,20-02-2014 6:00,6.48,157,1
CHI2015,20-02-2014 7:00,6.48,157,1
CHI2015,20-02-2014 8:00,6.48,157,1
CHI2015,20-02-2014 9:00,6.48,157,1
CHI2015,20-02-2014 10:00,6.48,157,1
CHI2015,20-02-2014 11:00,6.48,157,1
CHI2015,20-02-2014 12:00,6.48,157,1
CHI2015,20-02-2014 13:00,6.48,157,1
CHI2015,20-02-2014 14:00,6.48,157,1
CHI2015,20-02-2014 15:00,6.48,157,1
CHI2015,20-02-2014 16:00,6.48,157,1
CHI2015,20-02-2014 17:00,6.48,157,1
CHI2015,20-02-2014 18:00,6.48,157,1
CHI2015,20-02-2014 19:00,6.48,157,1
CHI2015,20-02-2014 20:00,6.48,157,1
CHI2015,20-02-2014 21:00,6.48,157,1
