Instance,datetime,WS,WD,FireScenario
CHI2015,04-03-2014 14:00,16.2,315,1
CHI2015,04-03-2014 15:00,14.4,315,1
CHI2015,04-03-2014 16:00,12.96,315,1
CHI2015,04-03-2014 17:00,7.92,337,1
CHI2015,04-03-2014 18:00,7.92,315,1
CHI2015,04-03-2014 19:00,9.72,315,1
CHI2015,04-03-2014 20:00,7.92,315,1
CHI2015,04-03-2014 21:00,6.48,337,1
CHI2015,04-03-2014 22:00,6.48,315,1
CHI2015,04-03-2014 23:00,7.92,315,1
CHI2015,05-03-2014 0:00,8.38285714285714,295.714285714286,1
CHI2015,05-03-2014 1:00,8.84571428571429,276.428571428571,1
CHI2015,05-03-2014 2:00,9.30857142857143,257.142857142857,1
CHI2015,05-03-2014 3:00,9.77142857142857,237.857142857143,1
CHI2015,05-03-2014 4:00,10.2342857142857,218.571428571429,1
CHI2015,05-03-2014 5:00,10.6971428571429,199.285714285714,1
CHI2015,05-03-2014 6:00,11.16,180,1
CHI2015,05-03-2014 7:00,11.16,180,1
CHI2015,05-03-2014 8:00,11.16,157,1
CHI2015,05-03-2014 9:00,11.16,157,1
CHI2015,05-03-2014 10:00,11.16,135,1
CHI2015,05-03-2014 11:00,4.68,315,1
CHI2015,05-03-2014 12:00,11.16,337,1
CHI2015,05-03-2014 13:00,14.4,315,1
CHI2015,05-03-2014 14:00,14.4,337,1
CHI2015,05-03-2014 15:00,14.4,337,1
