Instance,datetime,WS,WD,FireScenario
CHI2015,03-03-2014 13:00,14.4,315,1
CHI2015,03-03-2014 14:00,14.4,315,1
CHI2015,03-03-2014 15:00,14.4,315,1
CHI2015,03-03-2014 16:00,12.96,337,1
CHI2015,03-03-2014 17:00,12.96,337,1
CHI2015,03-03-2014 18:00,12.96,337,1
CHI2015,03-03-2014 19:00,9.72,337,1
CHI2015,03-03-2014 20:00,9.72,337,1
CHI2015,03-03-2014 21:00,9.72,337,1
CHI2015,03-03-2014 22:00,7.08,224.666666666667,1
CHI2015,03-03-2014 23:00,4.44,112.333333333333,1
CHI2015,04-03-2014 0:00,1.8,0,1
CHI2015,04-03-2014 1:00,1.8,0,1
CHI2015,04-03-2014 2:00,3.24,337,1
CHI2015,04-03-2014 3:00,6.48,315,1
CHI2015,04-03-2014 4:00,9.72,315,1
CHI2015,04-03-2014 5:00,9.72,337,1
CHI2015,04-03-2014 6:00,7.92,315,1
CHI2015,04-03-2014 7:00,7.92,315,1
CHI2015,04-03-2014 8:00,7.92,337,1
CHI2015,04-03-2014 9:00,7.92,337,1
CHI2015,04-03-2014 10:00,11.16,337,1
