Instance,datetime,WS,WD,FireScenario
CHI2015,17-01-2014 13:00,6.462,240.75,1
CHI2015,17-01-2014 14:00,6.3,247.5,1
CHI2015,17-01-2014 15:00,6.138,254.25,1
CHI2015,17-01-2014 16:00,5.976,261,1
CHI2015,17-01-2014 17:00,5.814,267.75,1
CHI2015,17-01-2014 18:00,5.652,274.5,1
CHI2015,17-01-2014 19:00,5.49,281.25,1
CHI2015,17-01-2014 20:00,5.328,288,1
CHI2015,17-01-2014 21:00,5.166,294.75,1
CHI2015,17-01-2014 22:00,5.004,301.5,1
CHI2015,17-01-2014 23:00,4.842,308.25,1
CHI2015,18-01-2014 0:00,4.68,315,1
CHI2015,18-01-2014 1:00,1.8,270,1
CHI2015,18-01-2014 2:00,1.8,247,1
CHI2015,18-01-2014 3:00,3.24,270,1
CHI2015,18-01-2014 4:00,3.24,247,1
CHI2015,18-01-2014 5:00,3.24,247,1
CHI2015,18-01-2014 6:00,4.68,225,1
CHI2015,18-01-2014 7:00,4.68,157,1
CHI2015,18-01-2014 8:00,3.24,157,1
CHI2015,18-01-2014 9:00,3.24,135,1
CHI2015,18-01-2014 10:00,4.68,315,1
CHI2015,18-01-2014 11:00,6.48,337,1
CHI2015,18-01-2014 12:00,12.96,337,1
CHI2015,18-01-2014 13:00,14.4,315,1
CHI2015,18-01-2014 14:00,16.2,315,1
CHI2015,18-01-2014 15:00,16.2,337,1
CHI2015,18-01-2014 16:00,16.2,337,1
CHI2015,18-01-2014 17:00,14.4,337,1
CHI2015,18-01-2014 18:00,14.4,337,1
CHI2015,18-01-2014 19:00,14.4,315,1
CHI2015,18-01-2014 20:00,9.72,292,1
CHI2015,18-01-2014 21:00,6.48,315,1
CHI2015,18-01-2014 22:00,9.72,315,1
CHI2015,18-01-2014 23:00,9.72,337,1
CHI2015,19-01-2014 0:00,3.24,315,1
CHI2015,19-01-2014 1:00,3.24,135,1
CHI2015,19-01-2014 2:00,6.48,135,1
CHI2015,19-01-2014 3:00,7.92,157,1
CHI2015,19-01-2014 4:00,7.92,135,1
