Instance,datetime,WS,WD,FireScenario
CHI2015,28-01-2014 13:00,12.96,337,1
CHI2015,28-01-2014 14:00,14.4,315,1
CHI2015,28-01-2014 15:00,14.4,315,1
CHI2015,28-01-2014 16:00,14.4,315,1
CHI2015,28-01-2014 17:00,14.4,292,1
CHI2015,28-01-2014 18:00,14.4,292,1
CHI2015,28-01-2014 19:00,10.68,239.666666666667,1
CHI2015,28-01-2014 20:00,6.96,187.333333333333,1
CHI2015,28-01-2014 21:00,3.24,135,1
CHI2015,28-01-2014 22:00,4.68,202,1
CHI2015,28-01-2014 23:00,9.72,157,1
CHI2015,29-01-2014 0:00,11.16,157,1
CHI2015,29-01-2014 1:00,9.72,157,1
CHI2015,29-01-2014 2:00,9.72,180,1
CHI2015,29-01-2014 3:00,11.16,180,1
CHI2015,29-01-2014 4:00,11.16,180,1
CHI2015,29-01-2014 5:00,10.728,189,1
CHI2015,29-01-2014 6:00,10.296,198,1
CHI2015,29-01-2014 7:00,9.864,207,1
CHI2015,29-01-2014 8:00,9.432,216,1
CHI2015,29-01-2014 9:00,9,225,1
CHI2015,29-01-2014 10:00,8.568,234,1
