Instance,datetime,WS,WD,FireScenario
CHI2015,27-03-2014 18:00,7.92,337,1
CHI2015,27-03-2014 19:00,3.24,337,1
CHI2015,27-03-2014 20:00,1.8,202,1
CHI2015,27-03-2014 21:00,1.8,270,1
CHI2015,27-03-2014 22:00,1.8,270,1
CHI2015,27-03-2014 23:00,3.24,315,1
CHI2015,28-03-2014 0:00,4.68,180,1
CHI2015,28-03-2014 1:00,3.24,292,1
CHI2015,28-03-2014 2:00,6.48,180,1
CHI2015,28-03-2014 3:00,7.92,180,1
CHI2015,28-03-2014 4:00,9.72,157,1
CHI2015,28-03-2014 5:00,7.92,157,1
CHI2015,28-03-2014 6:00,6.48,180,1
CHI2015,28-03-2014 7:00,7.92,180,1
CHI2015,28-03-2014 8:00,4.68,157,1
CHI2015,28-03-2014 9:00,3.24,292,1
CHI2015,28-03-2014 10:00,7.92,315,1
CHI2015,28-03-2014 11:00,11.16,337,1
CHI2015,28-03-2014 12:00,12.96,337,1
CHI2015,28-03-2014 13:00,16.2,337,1
CHI2015,28-03-2014 14:00,16.2,315,1
CHI2015,28-03-2014 15:00,12.96,337,1
CHI2015,28-03-2014 16:00,9.72,337,1
CHI2015,28-03-2014 17:00,9.72,270,1
CHI2015,28-03-2014 18:00,14.4,247,1
CHI2015,28-03-2014 19:00,7.92,337,1
CHI2015,28-03-2014 20:00,6.48,315,1
CHI2015,28-03-2014 21:00,3.24,315,1
CHI2015,28-03-2014 22:00,4.68,315,1
CHI2015,28-03-2014 23:00,3.24,292,1
CHI2015,29-03-2014 0:00,3.24,292,1
CHI2015,29-03-2014 1:00,3.24,292,1
CHI2015,29-03-2014 2:00,3.24,292,1
