Instance,datetime,WS,WD,FireScenario
CHI2015,05-03-2014 11:00,4.68,315,1
CHI2015,05-03-2014 12:00,11.16,337,1
CHI2015,05-03-2014 13:00,14.4,315,1
CHI2015,05-03-2014 14:00,14.4,337,1
CHI2015,05-03-2014 15:00,14.4,337,1
CHI2015,05-03-2014 16:00,13.88,317,1
CHI2015,05-03-2014 17:00,13.36,297,1
CHI2015,05-03-2014 18:00,12.84,277,1
CHI2015,05-03-2014 19:00,12.32,257,1
CHI2015,05-03-2014 20:00,11.8,237,1
CHI2015,05-03-2014 21:00,11.28,217,1
CHI2015,05-03-2014 22:00,10.76,197,1
CHI2015,05-03-2014 23:00,10.24,177,1
CHI2015,06-03-2014 0:00,9.72,157,1
CHI2015,06-03-2014 1:00,11.16,180,1
CHI2015,06-03-2014 2:00,11.16,180,1
CHI2015,06-03-2014 3:00,9.72,157,1
CHI2015,06-03-2014 4:00,7.92,180,1
CHI2015,06-03-2014 5:00,6.48,180,1
CHI2015,06-03-2014 6:00,7.92,157,1
CHI2015,06-03-2014 7:00,7.92,157,1
