Instance,datetime,WS,WD,FireScenario
CHI2015,24-03-2014 17:00,11.16,337,1
CHI2015,24-03-2014 18:00,4.68,315,1
CHI2015,24-03-2014 19:00,7.92,180,1
CHI2015,24-03-2014 20:00,7.92,135,1
CHI2015,24-03-2014 21:00,9.72,157,1
CHI2015,24-03-2014 22:00,11.16,157,1
CHI2015,24-03-2014 23:00,11.16,180,1
CHI2015,25-03-2014 0:00,11.16,157,1
CHI2015,25-03-2014 1:00,12.96,157,1
CHI2015,25-03-2014 2:00,12.96,180,1
CHI2015,25-03-2014 3:00,12.96,202,1
CHI2015,25-03-2014 4:00,12.96,180,1
CHI2015,25-03-2014 5:00,14.4,180,1
CHI2015,25-03-2014 6:00,14.4,180,1
CHI2015,25-03-2014 7:00,12.96,180,1
CHI2015,25-03-2014 8:00,12.96,157,1
CHI2015,25-03-2014 9:00,9.72,180,1
CHI2015,25-03-2014 10:00,6.48,180,1
CHI2015,25-03-2014 11:00,9.72,135,1
CHI2015,25-03-2014 12:00,9.72,135,1
CHI2015,25-03-2014 13:00,9.72,180,1
CHI2015,25-03-2014 14:00,9.72,180,1
CHI2015,25-03-2014 15:00,9.72,157,1
CHI2015,25-03-2014 16:00,7.92,225,1
CHI2015,25-03-2014 17:00,9.72,225,1
CHI2015,25-03-2014 18:00,11.16,225,1
CHI2015,25-03-2014 19:00,11.16,202,1
CHI2015,25-03-2014 20:00,9.72,135,1
CHI2015,25-03-2014 21:00,7.92,135,1
CHI2015,25-03-2014 22:00,4.68,135,1
CHI2015,25-03-2014 23:00,4.68,135,1
CHI2015,26-03-2014 0:00,6.48,135,1
CHI2015,26-03-2014 1:00,7.92,135,1
CHI2015,26-03-2014 2:00,7.92,135,1
CHI2015,26-03-2014 3:00,9.72,135,1
CHI2015,26-03-2014 4:00,9.72,157,1
CHI2015,26-03-2014 5:00,9.72,157,1
CHI2015,26-03-2014 6:00,9.72,157,1
CHI2015,26-03-2014 7:00,7.92,157,1
CHI2015,26-03-2014 8:00,9.72,157,1
CHI2015,26-03-2014 9:00,6.48,157,1
CHI2015,26-03-2014 10:00,11.16,90,1
CHI2015,26-03-2014 11:00,11.16,90,1
CHI2015,26-03-2014 12:00,9.72,90,1
CHI2015,26-03-2014 13:00,9.72,112,1
CHI2015,26-03-2014 14:00,7.92,112,1
CHI2015,26-03-2014 15:00,6.48,315,1
CHI2015,26-03-2014 16:00,11.16,337,1
CHI2015,26-03-2014 17:00,11.16,315,1
CHI2015,26-03-2014 18:00,4.68,202,1
CHI2015,26-03-2014 19:00,6.48,180,1
CHI2015,26-03-2014 20:00,9.72,157,1
CHI2015,26-03-2014 21:00,9.72,157,1
CHI2015,26-03-2014 22:00,11.16,180,1
CHI2015,26-03-2014 23:00,11.16,157,1
CHI2015,27-03-2014 0:00,7.92,180,1
CHI2015,27-03-2014 1:00,4.68,292,1
CHI2015,27-03-2014 2:00,1.8,292,1
CHI2015,27-03-2014 3:00,3.24,315,1
CHI2015,27-03-2014 4:00,3.24,315,1
CHI2015,27-03-2014 5:00,4.68,315,1
CHI2015,27-03-2014 6:00,6.48,157,1
CHI2015,27-03-2014 7:00,4.68,157,1
CHI2015,27-03-2014 8:00,4.68,157,1
CHI2015,27-03-2014 9:00,3.24,292,1
CHI2015,27-03-2014 10:00,4.68,292,1
CHI2015,27-03-2014 11:00,7.92,315,1
CHI2015,27-03-2014 12:00,12.96,315,1
CHI2015,27-03-2014 13:00,12.96,315,1
CHI2015,27-03-2014 14:00,14.4,337,1
