Instance,datetime,WS,WD,FireScenario
CHI2015,14-02-2014 23:00,9.72,135,1
CHI2015,15-02-2014 0:00,7.92,157,1
CHI2015,15-02-2014 1:00,7.92,157,1
CHI2015,15-02-2014 2:00,7.92,157,1
CHI2015,15-02-2014 3:00,9.72,135,1
CHI2015,15-02-2014 4:00,9.78857142857143,137.142857142857,1
CHI2015,15-02-2014 5:00,9.85714285714286,139.285714285714,1
CHI2015,15-02-2014 6:00,9.92571428571429,141.428571428571,1
CHI2015,15-02-2014 7:00,9.99428571428571,143.571428571429,1
CHI2015,15-02-2014 8:00,10.0628571428571,145.714285714286,1
CHI2015,15-02-2014 9:00,10.1314285714286,147.857142857143,1
CHI2015,15-02-2014 10:00,10.2,150,1
CHI2015,15-02-2014 11:00,10.2685714285714,152.142857142857,1
CHI2015,15-02-2014 12:00,10.3371428571429,154.285714285714,1
CHI2015,15-02-2014 13:00,10.4057142857143,156.428571428571,1
CHI2015,15-02-2014 14:00,10.4742857142857,158.571428571429,1
CHI2015,15-02-2014 15:00,10.5428571428571,160.714285714286,1
CHI2015,15-02-2014 16:00,10.6114285714286,162.857142857143,1
CHI2015,15-02-2014 17:00,10.68,165,1
CHI2015,15-02-2014 18:00,10.7485714285714,167.142857142857,1
CHI2015,15-02-2014 19:00,10.8171428571429,169.285714285714,1
CHI2015,15-02-2014 20:00,10.8857142857143,171.428571428571,1
CHI2015,15-02-2014 21:00,10.9542857142857,173.571428571429,1
CHI2015,15-02-2014 22:00,11.0228571428571,175.714285714286,1
CHI2015,15-02-2014 23:00,11.0914285714286,177.857142857143,1
CHI2015,16-02-2014 0:00,11.16,180,1
CHI2015,16-02-2014 1:00,11.16,180,1
CHI2015,16-02-2014 2:00,11.16,180,1
CHI2015,16-02-2014 3:00,6.48,315,1
CHI2015,16-02-2014 4:00,3.24,292,1
CHI2015,16-02-2014 5:00,7.92,225,1
CHI2015,16-02-2014 6:00,7.92,157,1
CHI2015,16-02-2014 7:00,9.72,135,1
