Instance,datetime,WS,WD,FireScenario
CHI2015,19-03-2014 14:00,14.4,337,1
CHI2015,19-03-2014 15:00,16.2,315,1
CHI2015,19-03-2014 16:00,12.96,315,1
CHI2015,19-03-2014 17:00,9.72,315,1
CHI2015,19-03-2014 18:00,6.48,337,1
CHI2015,19-03-2014 19:00,6.48,337,1
CHI2015,19-03-2014 20:00,7.128,305.6,1
CHI2015,19-03-2014 21:00,7.776,274.2,1
CHI2015,19-03-2014 22:00,8.424,242.8,1
CHI2015,19-03-2014 23:00,9.072,211.4,1
CHI2015,20-03-2014 0:00,9.72,180,1
CHI2015,20-03-2014 1:00,9.72,157,1
CHI2015,20-03-2014 2:00,7.92,180,1
CHI2015,20-03-2014 3:00,4.68,180,1
CHI2015,20-03-2014 4:00,4.68,202,1
CHI2015,20-03-2014 5:00,4.68,315,1
CHI2015,20-03-2014 6:00,4.68,315,1
CHI2015,20-03-2014 7:00,6.48,337,1
CHI2015,20-03-2014 8:00,12.96,337,1
CHI2015,20-03-2014 9:00,16.2,315,1
CHI2015,20-03-2014 10:00,14.4,315,1
CHI2015,20-03-2014 11:00,11.16,337,1
CHI2015,20-03-2014 12:00,12.96,337,1
CHI2015,20-03-2014 13:00,12.96,337,1
