Instance,datetime,WS,WD,FireScenario
CHI2015,08-03-2014 18:00,6.48,337,1
CHI2015,08-03-2014 19:00,12.96,337,1
CHI2015,08-03-2014 20:00,12.96,315,1
CHI2015,08-03-2014 21:00,4.68,315,1
CHI2015,08-03-2014 22:00,4.68,315,1
CHI2015,08-03-2014 23:00,3.24,315,1
CHI2015,09-03-2014 0:00,9.72,315,1
CHI2015,09-03-2014 1:00,9.72,315,1
CHI2015,09-03-2014 2:00,11.16,337,1
CHI2015,09-03-2014 3:00,9.72,292,1
CHI2015,09-03-2014 4:00,9.72,292,1
CHI2015,09-03-2014 5:00,7.92,337,1
CHI2015,09-03-2014 6:00,3.24,270,1
CHI2015,09-03-2014 7:00,4.68,315,1
CHI2015,09-03-2014 8:00,7.92,315,1
CHI2015,09-03-2014 9:00,7.92,315,1
CHI2015,09-03-2014 10:00,9.72,337,1
CHI2015,09-03-2014 11:00,12.96,315,1
CHI2015,09-03-2014 12:00,12.96,315,1
CHI2015,09-03-2014 13:00,17.64,315,1
CHI2015,09-03-2014 14:00,16.2,315,1
CHI2015,09-03-2014 15:00,17.64,315,1
