Instance,datetime,WS,WD,FireScenario
CHI2015,17-03-2014 19:00,9.72,202,1
CHI2015,17-03-2014 20:00,9.72,135,1
CHI2015,17-03-2014 21:00,9.72,202,1
CHI2015,17-03-2014 22:00,6.48,157,1
CHI2015,17-03-2014 23:00,6.48,157,1
CHI2015,18-03-2014 0:00,6.48,157,1
CHI2015,18-03-2014 1:00,7.92,157,1
CHI2015,18-03-2014 2:00,9.72,157,1
CHI2015,18-03-2014 3:00,9.72,180,1
CHI2015,18-03-2014 4:00,9.72,180,1
CHI2015,18-03-2014 5:00,7.92,180,1
CHI2015,18-03-2014 6:00,9.72,157,1
CHI2015,18-03-2014 7:00,11.16,180,1
CHI2015,18-03-2014 8:00,11.16,180,1
CHI2015,18-03-2014 9:00,6.48,157,1
CHI2015,18-03-2014 10:00,9.72,112,1
CHI2015,18-03-2014 11:00,9.72,67,1
