Instance,datetime,WS,WD,FireScenario
CHI2015,10-03-2014 4:00,9.72,180,1
CHI2015,10-03-2014 5:00,9.72,180,1
CHI2015,10-03-2014 6:00,9.72,157,1
CHI2015,10-03-2014 7:00,6.48,157,1
CHI2015,10-03-2014 8:00,4.68,157,1
CHI2015,10-03-2014 9:00,3.24,112,1
CHI2015,10-03-2014 10:00,6.48,292,1
CHI2015,10-03-2014 11:00,7.92,337,1
CHI2015,10-03-2014 12:00,9.72,337,1
CHI2015,10-03-2014 13:00,9.72,337,1
CHI2015,10-03-2014 14:00,9.72,315,1
CHI2015,10-03-2014 15:00,9.72,292,1
CHI2015,10-03-2014 16:00,9.72,292,1
CHI2015,10-03-2014 17:00,8.91,297.625,1
CHI2015,10-03-2014 18:00,8.1,303.25,1
CHI2015,10-03-2014 19:00,7.29,308.875,1
CHI2015,10-03-2014 20:00,6.48,314.5,1
