Instance,datetime,WS,WD,FireScenario
CHI2015,12-02-2014 14:00,14.4,315,1
CHI2015,12-02-2014 15:00,14.4,315,1
CHI2015,12-02-2014 16:00,14.4,315,1
CHI2015,12-02-2014 17:00,14.4,315,1
CHI2015,12-02-2014 18:00,12.96,315,1
CHI2015,12-02-2014 19:00,11.16,315,1
CHI2015,12-02-2014 20:00,7.92,315,1
CHI2015,12-02-2014 21:00,4.68,247,1
CHI2015,12-02-2014 22:00,11.16,157,1
CHI2015,12-02-2014 23:00,11.16,135,1
CHI2015,13-02-2014 0:00,12.96,157,1
CHI2015,13-02-2014 1:00,7.92,157,1
CHI2015,13-02-2014 2:00,6.48,135,1
CHI2015,13-02-2014 3:00,6.48,135,1
CHI2015,13-02-2014 4:00,6.48,157,1
CHI2015,13-02-2014 5:00,7.92,135,1
CHI2015,13-02-2014 6:00,9.72,135,1
CHI2015,13-02-2014 7:00,9.72,180,1
CHI2015,13-02-2014 8:00,9.72,157,1
CHI2015,13-02-2014 9:00,9.72,135,1
CHI2015,13-02-2014 10:00,11.16,202,1
CHI2015,13-02-2014 11:00,12.96,180,1
CHI2015,13-02-2014 12:00,16.2,180,1
CHI2015,13-02-2014 13:00,16.2,135,1
CHI2015,13-02-2014 14:00,14.4,67,1
CHI2015,13-02-2014 15:00,14.4,112,1
CHI2015,13-02-2014 16:00,16.2,112,1
CHI2015,13-02-2014 17:00,16.2,135,1
CHI2015,13-02-2014 18:00,14.4,157,1
CHI2015,13-02-2014 19:00,14.4,112,1
CHI2015,13-02-2014 20:00,14.4,112,1
CHI2015,13-02-2014 21:00,12.96,135,1
CHI2015,13-02-2014 22:00,9.72,135,1
CHI2015,13-02-2014 23:00,9.72,180,1
CHI2015,14-02-2014 0:00,11.16,180,1
CHI2015,14-02-2014 1:00,9.72,247,1
CHI2015,14-02-2014 2:00,9.72,247,1
CHI2015,14-02-2014 3:00,11.16,202,1
CHI2015,14-02-2014 4:00,11.16,202,1
CHI2015,14-02-2014 5:00,11.16,202,1
CHI2015,14-02-2014 6:00,9.72,202,1
CHI2015,14-02-2014 7:00,9.72,202,1
CHI2015,14-02-2014 8:00,9.72,225,1
CHI2015,14-02-2014 9:00,9.72,225,1
CHI2015,14-02-2014 10:00,9.72,157,1
CHI2015,14-02-2014 11:00,9.72,135,1
CHI2015,14-02-2014 12:00,9.72,112,1
CHI2015,14-02-2014 13:00,12.96,112,1
CHI2015,14-02-2014 14:00,11.16,157,1
CHI2015,14-02-2014 15:00,14.4,135,1
