Instance,datetime,WS,WD,FireScenario
CHI2015,20-03-2014 14:00,12.96,315,1
CHI2015,20-03-2014 15:00,14.4,337,1
CHI2015,20-03-2014 16:00,12.96,337,1
CHI2015,20-03-2014 17:00,9.72,315,1
CHI2015,20-03-2014 18:00,9.72,292,1
CHI2015,20-03-2014 19:00,4.68,315,1
CHI2015,20-03-2014 20:00,4.68,135,1
CHI2015,20-03-2014 21:00,4.68,135,1
CHI2015,20-03-2014 22:00,6.36,150,1
CHI2015,20-03-2014 23:00,8.04,165,1
CHI2015,21-03-2014 0:00,9.72,180,1
CHI2015,21-03-2014 1:00,9.72,202,1
CHI2015,21-03-2014 2:00,7.92,202,1
CHI2015,21-03-2014 3:00,7.92,180,1
CHI2015,21-03-2014 4:00,4.68,135,1
CHI2015,21-03-2014 5:00,6.48,157,1
CHI2015,21-03-2014 6:00,7.92,157,1
CHI2015,21-03-2014 7:00,6.48,180,1
CHI2015,21-03-2014 8:00,6.48,180,1
CHI2015,21-03-2014 9:00,6.48,157,1
CHI2015,21-03-2014 10:00,6.48,337,1
CHI2015,21-03-2014 11:00,4.68,337,1
CHI2015,21-03-2014 12:00,11.16,337,1
CHI2015,21-03-2014 13:00,11.16,315,1
CHI2015,21-03-2014 14:00,12.96,337,1
CHI2015,21-03-2014 15:00,11.16,315,1
CHI2015,21-03-2014 16:00,11.16,337,1
CHI2015,21-03-2014 17:00,11.16,315,1
CHI2015,21-03-2014 18:00,4.68,292,1
CHI2015,21-03-2014 19:00,9.72,180,1
CHI2015,21-03-2014 20:00,9.72,180,1
