Instance,datetime,WS,WD,FireScenario
CHI2015,01-02-2014 18:00,12.96,315,1
CHI2015,01-02-2014 19:00,11.16,292,1
CHI2015,01-02-2014 20:00,12.96,315,1
CHI2015,01-02-2014 21:00,9.72,270,1
CHI2015,01-02-2014 22:00,9.72,270,1
CHI2015,01-02-2014 23:00,7.92,292,1
CHI2015,02-02-2014 0:00,12.96,315,1
CHI2015,02-02-2014 1:00,11.16,315,1
CHI2015,02-02-2014 2:00,7.92,315,1
CHI2015,02-02-2014 3:00,7.92,202,1
CHI2015,02-02-2014 4:00,7.92,202,1
CHI2015,02-02-2014 5:00,9.216,220,1
CHI2015,02-02-2014 6:00,10.512,238,1
CHI2015,02-02-2014 7:00,11.808,256,1
CHI2015,02-02-2014 8:00,13.104,274,1
CHI2015,02-02-2014 9:00,14.4,292,1
CHI2015,02-02-2014 10:00,14.4,315,1
CHI2015,02-02-2014 11:00,12.96,247,1
CHI2015,02-02-2014 12:00,12.96,247,1
CHI2015,02-02-2014 13:00,7.92,315,1
CHI2015,02-02-2014 14:00,9.72,315,1
CHI2015,02-02-2014 15:00,11.16,337,1
CHI2015,02-02-2014 16:00,7.92,337,1
CHI2015,02-02-2014 17:00,6.48,292,1
CHI2015,02-02-2014 18:00,7.92,315,1
CHI2015,02-02-2014 19:00,7.92,337,1
CHI2015,02-02-2014 20:00,6.48,337,1
