Instance,datetime,WS,WD,FireScenario
CHI2015,10-03-2014 14:00,9.72,315,1
CHI2015,10-03-2014 15:00,9.72,292,1
CHI2015,10-03-2014 16:00,9.72,292,1
CHI2015,10-03-2014 17:00,8.91,297.625,1
CHI2015,10-03-2014 18:00,8.1,303.25,1
CHI2015,10-03-2014 19:00,7.29,308.875,1
CHI2015,10-03-2014 20:00,6.48,314.5,1
CHI2015,10-03-2014 21:00,5.67,320.125,1
CHI2015,10-03-2014 22:00,4.86,325.75,1
CHI2015,10-03-2014 23:00,4.05,331.375,1
CHI2015,11-03-2014 0:00,3.24,337,1
CHI2015,11-03-2014 1:00,7.92,315,1
CHI2015,11-03-2014 2:00,7.92,315,1
CHI2015,11-03-2014 3:00,7.92,337,1
