Instance,datetime,WS,WD,FireScenario
CHI2015,15-02-2014 19:00,10.8171428571429,169.285714285714,1
CHI2015,15-02-2014 20:00,10.8857142857143,171.428571428571,1
CHI2015,15-02-2014 21:00,10.9542857142857,173.571428571429,1
CHI2015,15-02-2014 22:00,11.0228571428571,175.714285714286,1
CHI2015,15-02-2014 23:00,11.0914285714286,177.857142857143,1
CHI2015,16-02-2014 0:00,11.16,180,1
CHI2015,16-02-2014 1:00,11.16,180,1
CHI2015,16-02-2014 2:00,11.16,180,1
CHI2015,16-02-2014 3:00,6.48,315,1
CHI2015,16-02-2014 4:00,3.24,292,1
CHI2015,16-02-2014 5:00,7.92,225,1
CHI2015,16-02-2014 6:00,7.92,157,1
CHI2015,16-02-2014 7:00,9.72,135,1
CHI2015,16-02-2014 8:00,11.16,157,1
CHI2015,16-02-2014 9:00,11.16,157,1
CHI2015,16-02-2014 10:00,11.16,180,1
CHI2015,16-02-2014 11:00,7.92,112,1
CHI2015,16-02-2014 12:00,7.92,112,1
CHI2015,16-02-2014 13:00,7.92,112,1
CHI2015,16-02-2014 14:00,7.92,90,1
CHI2015,16-02-2014 15:00,11.16,337,1
CHI2015,16-02-2014 16:00,12.96,337,1
CHI2015,16-02-2014 17:00,14.4,315,1
CHI2015,16-02-2014 18:00,9.72,315,1
CHI2015,16-02-2014 19:00,9.72,315,1
CHI2015,16-02-2014 20:00,14.4,292,1
CHI2015,16-02-2014 21:00,14.4,292,1
CHI2015,16-02-2014 22:00,12.84,262,1
