Instance,datetime,WS,WD,FireScenario
CHI2015,09-01-2014 18:00,12.96,315,1
CHI2015,09-01-2014 19:00,7.92,292,1
CHI2015,09-01-2014 20:00,9.72,270,1
CHI2015,09-01-2014 21:00,9.72,270,1
CHI2015,09-01-2014 22:00,9.12,240,1
CHI2015,09-01-2014 23:00,8.52,210,1
CHI2015,10-01-2014 0:00,7.92,180,1
CHI2015,10-01-2014 1:00,4.68,135,1
CHI2015,10-01-2014 2:00,6.48,180,1
CHI2015,10-01-2014 3:00,7.92,180,1
CHI2015,10-01-2014 4:00,9.72,180,1
CHI2015,10-01-2014 5:00,9.72,157,1
CHI2015,10-01-2014 6:00,11.16,157,1
CHI2015,10-01-2014 7:00,11.16,157,1
CHI2015,10-01-2014 8:00,9.72,157,1
CHI2015,10-01-2014 9:00,9.72,135,1
CHI2015,10-01-2014 10:00,4.68,135,1
CHI2015,10-01-2014 11:00,6.48,337,1
CHI2015,10-01-2014 12:00,6.48,337,1
CHI2015,10-01-2014 13:00,11.16,337,1
CHI2015,10-01-2014 14:00,14.4,315,1
CHI2015,10-01-2014 15:00,14.4,337,1
CHI2015,10-01-2014 16:00,16.2,337,1
CHI2015,10-01-2014 17:00,14.4,315,1
CHI2015,10-01-2014 18:00,14.4,315,1
CHI2015,10-01-2014 19:00,14.4,337,1
CHI2015,10-01-2014 20:00,12.96,315,1
CHI2015,10-01-2014 21:00,4.68,270,1
CHI2015,10-01-2014 22:00,7.92,180,1
CHI2015,10-01-2014 23:00,9.72,157,1
