Instance,datetime,WS,WD,FireScenario
CHI2015,06-01-2014 13:00,7.92,157,1
CHI2015,06-01-2014 14:00,7.92,157,1
CHI2015,06-01-2014 15:00,7.92,157,1
CHI2015,06-01-2014 16:00,7.92,157,1
CHI2015,06-01-2014 17:00,7.92,157,1
CHI2015,06-01-2014 18:00,7.92,157,1
CHI2015,06-01-2014 19:00,7.92,157,1
CHI2015,06-01-2014 20:00,7.92,157,1
CHI2015,06-01-2014 21:00,7.92,157,1
CHI2015,06-01-2014 22:00,7.92,157,1
CHI2015,06-01-2014 23:00,7.92,157,1
CHI2015,07-01-2014 0:00,7.92,157,1
CHI2015,08-01-2014 4:00,12.96,337,1
CHI2015,08-01-2014 5:00,12.96,337,1
CHI2015,08-01-2014 6:00,12.96,337,1
CHI2015,08-01-2014 7:00,12.96,337,1
CHI2015,08-01-2014 8:00,12.96,337,1
CHI2015,08-01-2014 9:00,12.96,337,1
CHI2015,08-01-2014 10:00,12.96,337,1
CHI2015,08-01-2014 11:00,12.96,337,1
